tier,threshold,coverage,error_rate,error_ci_low,error_ci_high,n_accepted,n
t0,0.85,0.9795918367346939,0.0,0.0,0.01316330502573999,288,294
t0,0.97,0.8877551020408163,0.0,0.0,0.014505274095912424,261,294
t1,0.85,0.9829931972789115,0.0,0.0,0.013118354769267754,289,294
t1,0.97,0.8707482993197279,0.0,0.0,0.014784391721725852,256,294
t2,0.85,0.14965986394557823,0.09090909090909094,0.035921611478836546,0.21159519397917487,44,294
t2,0.97,0.013605442176870748,0.0,0.0,0.48990002040399916,4,294
t3,0.85,0.10204081632653061,0.43333333333333335,0.2737723743061511,0.6080299045459127,30,294
t3,0.97,0.013605442176870748,0.0,0.0,0.48990002040399916,4,294
